"","Year","Adopters"
"1",1974,1
"2",1975,8
"3",1976,18
"4",1977,24
"5",1978,24
"6",1979,25
"7",1980,32
"8",1981,35
"9",1982,38
"10",1983,39
"11",1984,41
"12",1985,43
"13",1986,48
"14",1987,50
"15",1988,57
"16",1989,57
"17",1990,70
"18",1991,74
"19",1992,81
"20",1993,89
"21",1994,94
"22",1995,104
"23",1996,111
"24",1997,120
"25",1998,126
"26",1999,133
"27",2000,139
"28",2001,148
"29",2002,154
"30",2003,156
"31",2004,162
"32",2005,169
"33",2006,172
"34",2007,175
"35",2008,180
"36",2009,180
"37",2010,181
"38",2011,183
"39",2012,188
"40",2013,192
